Periodo,IGAE_MEX,IPI_USA
2006/08,89.75946257,99.20727404
2006/09,89.73483658,99.00611146
2006/10,90.11966866,98.94949511
2006/11,89.63011008,98.8544882
2006/12,90.11348049,99.88250167
2007/01,90.0607485,99.36296902
2007/02,90.28249394,100.3645163
2007/03,90.50604956,100.583323
2007/04,91.02381015,101.2903488
2007/05,91.52024861,101.3395973
2007/06,91.74483652,101.3681963
2007/07,91.81585486,101.3303875
2007/08,91.80757806,101.5561743
2007/09,92.26657874,101.9492896
2007/10,92.59290882,101.5188501
2007/11,91.9025424,102.116715
2007/12,91.89813306,102.1282516
2008/01,92.38771112,101.8531193
2008/02,92.44389943,101.5113853
2008/03,91.50789332,101.2711536
2008/04,93.03436415,100.5041183
2008/05,92.74411746,99.93785773
2008/06,93.33178217,99.70344274
2008/07,93.40084162,99.17576665
2008/08,92.36237169,97.65866153
2008/09,92.07622411,93.42338954
2008/10,92.72089229,94.31199491
2008/11,91.055729,93.12663838
2008/12,89.80910831,90.40401201
2009/01,86.88212338,88.25685601
2009/02,86.46744676,87.68768711
2009/03,86.20153359,86.29729017
2009/04,85.53514303,85.60858707
2009/05,85.06333332,84.74567234
2009/06,86.37970598,84.41479626
2009/07,87.92147423,85.34363415
2009/08,87.54689545,86.30019855
2009/09,87.94582355,86.95322558
2009/10,88.88382765,87.23155703
2009/11,89.42771333,87.57842917
2009/12,89.63256378,87.84570879
2010/01,89.81304502,88.86460935
2010/02,90.0689067,89.18433666
2010/03,91.25094993,89.7711497
2010/04,91.36067687,90.10493415
2010/05,91.46229329,91.4196164
2010/06,91.48203006,91.55534055
2010/07,91.82557389,91.9565993
2010/08,92.00885798,92.23890552
2010/09,92.43160287,92.45111992
2010/10,92.44458646,92.20604089
2010/11,92.6008737,92.23260404
2010/12,93.2473128,93.12605671
2011/01,93.39466091,93.00632862
2011/02,93.51172815,92.59818673
2011/03,94.07069458,93.5181056
2011/04,93.60011601,93.18306085
2011/05,94.49174436,93.39537219
2011/06,95.08274784,93.66459073
2011/07,95.50269989,94.16269835
2011/08,96.08774366,94.68998666
2011/09,96.18782516,94.6670105
2011/10,96.1985553,95.31926197
2011/11,97.12126424,95.24277172
2011/12,96.80448201,95.77044781
2012/01,97.31497668,96.35687307
2012/02,97.64611739,96.57771565
2012/03,97.96196076,96.1267237
2012/04,98.33535409,96.84945478
2012/05,97.76363048,97.03539686
2012/06,98.69622379,97.01639548
2012/07,99.14109746,97.2709752
2012/08,98.6663398,96.80621694
2012/09,98.97341127,96.85362345
2012/10,98.96519621,97.05895469
2012/11,100.3429853,97.52662132
2012/12,99.45616047,97.87087592
2013/01,99.52127537,97.74116242
2013/02,99.45465852,98.30257566
2013/03,99.67905858,98.70189548
2013/04,99.18198477,98.5322403
2013/05,99.780578,98.64004405
2013/06,99.61372394,98.84101273
2013/07,99.66289465,98.41978315
2013/08,100.3395832,99.06961098
2013/09,100.477481,99.57983682
2013/10,100.6339909,99.40543129
2013/11,100.6183567,99.69704432
2013/12,100.9799398,100
2014/01,100.215093,99.58429633
2014/02,101.5116408,100.4278219
2014/03,101.3600544,101.3945656
2014/04,102.3066601,101.4412935
2014/05,102.8696668,101.8078456
2014/06,102.4831264,102.1887458
2014/07,102.8990804,102.3900053
2014/08,102.7273582,102.2764817
2014/09,102.7810803,102.5820549
2014/10,103.8956797,102.6032861
2014/11,103.908041,103.4057066
2014/12,104.0001191,103.2555375
2015/01,104.1293204,102.7437606
2015/02,104.4640744,102.2220951
2015/03,104.4160286,101.9350385
2015/04,106.0598065,101.33475
2015/05,105.0989761,100.8955855
2015/06,105.3609711,100.5496828
2015/07,106.3724291,101.138047
2015/08,106.5868612,100.9808009
2015/09,107.6765601,100.6072686
2015/10,106.8305664,100.2396501
2015/11,106.0447066,99.55036529
2015/12,106.5986491,98.98303836
2016/01,107.1877507,99.80814422
2016/02,108.0108404,99.10043975
2016/03,107.5193213,98.31808699
2016/04,107.4789861,98.41619616
2016/05,107.6615221,98.33195024
2016/06,108.5114231,98.76326219
2016/07,108.5547121,99.01318851
2016/08,108.6066729,98.92419225
2016/09,109.3013593,98.93097845
2016/10,109.8886578,99.12564566
2016/11,109.7356503,98.93388683
2016/12,110.557503,99.78448944
2017/01,110.6622023,99.88967566
2017/02,110.0660406,99.51284726
2017/03,110.5859154,100.1867176
2017/04,110.8515811,101.0874413
2017/05,110.2647207,101.223941
2017/06,110.9949126,101.3906878
2017/07,110.2163503,101.3497766
2017/08,111.3153632,100.8697009
2017/09,110.0818916,100.8723185
2017/10,111.1903953,102.4026082
2017/11,111.8462588,102.9496735
2017/12,112.8697094,103.2821976
2018/01,112.1698471,103.0199592
2018/02,112.6274113,103.3848633
2018/03,113.8233466,103.9762328
2018/04,112.8321558,104.916995
2018/05,113.5328861,104.0848121
2018/06,113.0095736,104.8669709
2018/07,113.3619693,105.3335712
2018/08,113.3997574,106.1795204
2018/09,113.3618531,106.32523
2018/10,113.2519286,106.5594511
2018/11,113.5159438,107.1316253
2018/12,112.7375855,107.1751539
2019/01,113.3107997,106.7552816
2019/02,113.4997074,106.2168445
2019/03,113.0148081,106.3312406
2019/04,112.9989343,105.6600847
2019/05,112.993099,105.890428
2019/06,112.9874314,105.9398703
2019/07,112.9364642,105.7535405
2019/08,112.7500305,106.4991508
2019/09,112.9584856,106.1362826
2019/10,112.4574058,105.67928
2019/11,112.6018031,106.6138377
2019/12,112.829486,106.1951287
